티커,현재가,RSI,MFI,CCI,"추정수급(5일,만주)",거래량비율(5일평균대비),당일거래대금(억),이평선추세,MACD에너지,ADX(추세강도),종합점수
091700,6530,33.97,43.07,-48.22,60.4,24.63,4.05,하락/역배열,골든크로스(0이하),9.77,61.67
001060,27400,40.11,27.52,-10.42,16.2,25.96,3.52,하락/역배열,골든크로스(0이하),17.29,61.66
046890,12700,40.18,47.64,-89.0,236.3,10.95,18.19,하락/역배열,하락추세,33.85,61.48
178920,23500,32.56,40.85,-27.89,16.1,64.33,19.26,하락/역배열,하락추세,33.18,61.19
004370,370500,40.27,45.85,-77.92,3.9,15.04,13.49,하락/역배열,하락추세,30.05,61.12
393890,12820,33.46,54.58,-84.15,85.3,39.88,10.38,하락/역배열,하락추세,44.68,61.0
010130,1261000,37.48,35.71,-22.37,1.7,28.73,65.58,하락/역배열,골든크로스(0이하),27.73,60.8
001440,42550,36.22,41.28,-38.81,1206.6,83.25,1208.55,하락/역배열,하락추세,15.86,60.73
028300,48325,43.3,41.91,-69.51,-59.2,26.33,165.83,하락/역배열,하락추세,30.28,60.72
002020,54700,36.09,37.98,-24.82,10.4,19.16,5.1,하락/역배열,골든크로스(0이하),20.64,60.71
051490,2915,32.79,51.14,-63.32,5.7,18.24,0.13,하락/역배열,하락추세,65.07,60.63
053350,2530,40.34,32.34,-18.18,8.1,48.75,0.26,하락/역배열,골든크로스(0이하),27.7,60.62
036670,5300,40.52,30.74,-12.26,1.6,3.68,0.02,하락/역배열,골든크로스(0이하),55.55,60.6
145020,242500,42.42,44.74,-75.26,1.4,19.11,18.46,하락/역배열,하락추세,19.02,60.55
003030,146200,30.65,38.42,-1.03,6.5,79.71,48.43,하락/역배열,골든크로스(0이하),61.05,60.4
003240,924000,38.44,37.17,-26.21,-0.2,28.36,4.08,하락/역배열,골든크로스(0이하),38.14,60.32
207940,1333000,35.8,38.55,-20.19,11.7,80.8,538.25,하락/역배열,골든크로스(0이하),14.53,60.23
046940,3450,36.84,44.02,-45.53,-23.4,27.2,1.14,하락/역배열,골든크로스(0이하),18.13,60.17
084010,8910,38.72,32.09,-5.16,12.4,90.58,2.71,하락/역배열,골든크로스(0이하),47.08,60.16
069620,123500,31.46,50.31,-48.58,1.4,31.46,11.13,하락/역배열,골든크로스(0이하),28.92,60.13
032500,25750,33.55,68.67,-129.52,82.7,32.72,26.77,하락/역배열,하락추세,46.67,60.05
068270,173700,39.67,36.91,-26.63,14.9,30.3,253.37,하락/역배열,골든크로스(0이하),32.83,60.03
017390,57400,39.84,31.19,-4.19,2.3,96.97,3.54,하락/역배열,골든크로스(0이하),27.82,60.01
086900,87500,37.16,42.15,-37.18,61.3,7.34,9.07,하락/역배열,골든크로스(0이하),35.76,60.0
192820,167000,31.44,45.99,-29.52,15.9,108.76,102.42,하락/역배열,골든크로스(0이하),36.04,59.98
044780,1289,42.18,31.02,-10.75,15.5,51.02,0.26,하락/역배열,골든크로스(0이하),24.33,59.83
365550,3885,36.97,37.58,-15.94,11.3,66.12,17.84,하락/역배열,골든크로스(0이하),68.4,59.81
033270,18640,41.99,27.57,4.49,3.4,49.41,1.5,하락/역배열,골든크로스(0이하),17.52,59.77
083790,1013,42.3,24.49,16.22,67.4,69.7,1.49,하락/역배열,골든크로스(0이하),44.68,59.72
011000,884,27.57,68.87,-101.41,-141.1,51.34,5.42,하락/역배열,하락추세,47.15,59.64
010060,319500,35.27,32.5,16.3,116.1,31.6,349.4,정배열,하락추세,63.9,59.39
005180,68900,42.07,43.23,-53.6,5.9,26.67,4.46,하락/역배열,하락추세,31.32,59.37
278280,43000,37.62,44.24,-39.21,4.4,19.38,5.21,하락/역배열,골든크로스(0이하),38.59,59.31
071840,6770,46.48,28.97,-11.91,3.0,22.05,0.31,하락/역배열,골든크로스(0이하),28.56,59.18
035760,37950,40.0,48.13,-62.54,23.6,13.8,4.69,하락/역배열,골든크로스(0이하),78.64,59.17
103140,77400,38.32,37.42,-10.85,45.5,25.4,37.31,하락/역배열,골든크로스(0이하),37.69,58.99
065680,36850,45.6,55.74,-111.52,3.8,24.22,2.2,하락/역배열,하락추세,16.68,58.85
230360,16000,50.0,43.86,-78.91,0.0,0.0,0.0,하락/역배열,하락추세,100.0,58.62
001390,4695,42.27,33.22,-4.38,76.0,19.24,2.12,하락/역배열,골든크로스(0이하),17.67,58.53
009420,54000,27.12,51.83,-15.04,40.0,50.37,76.08,하락/역배열,하락추세,8.43,58.27
001500,9410,41.18,41.98,-29.46,67.2,42.01,6.38,하락/역배열,골든크로스(0이하),40.02,58.07
001680,18790,45.11,35.23,-17.56,-31.8,9.33,2.77,하락/역배열,골든크로스(0이하),33.49,58.02
003090,18590,38.73,40.41,-10.53,30.0,22.31,2.49,하락/역배열,골든크로스(0이하),36.74,57.83
293490,9100,37.02,52.88,-52.86,61.5,21.65,4.8,하락/역배열,골든크로스(0이하),25.13,57.77
096530,29350,42.11,44.05,-35.32,28.8,68.93,50.85,하락/역배열,하락추세,30.76,57.56
096770,110900,43.48,43.01,-35.36,16.0,21.54,97.79,하락/역배열,골든크로스(0이하),33.86,57.45
178320,71700,42.46,43.75,-33.99,432.2,24.94,358.47,하락/역배열,하락추세,9.11,57.43
003000,4690,38.7,42.41,-12.75,211.1,17.69,5.31,하락/역배열,골든크로스(0이하),44.25,57.36
005385,245500,40.26,52.86,-60.79,0.0,35.59,56.39,하락/역배열,하락추세,37.53,57.36
112040,18070,39.3,53.28,-56.77,45.7,25.0,6.95,하락/역배열,골든크로스(0이하),22.29,57.21
014570,3435,45.86,33.26,-2.2,1.2,6.67,0.02,하락/역배열,골든크로스(0이하),39.89,57.15
000320,18070,42.4,33.92,9.21,2.9,31.35,0.33,하락/역배열,골든크로스(0이하),12.91,57.13
298020,351500,39.3,48.52,-36.0,-0.7,13.31,9.65,하락/역배열,골든크로스(0이하),63.91,57.06
006260,443000,39.24,46.68,-26.89,47.5,28.81,230.14,하락/역배열,하락추세,36.57,56.93
122450,2860,39.89,44.29,-17.72,15.0,14.2,0.21,하락/역배열,골든크로스(0이하),93.1,56.75
038500,11070,38.42,51.52,-40.43,121.8,17.12,36.8,하락/역배열,골든크로스(0이하),24.94,56.72
051160,7270,37.71,63.55,-84.39,-6.0,18.51,0.51,하락/역배열,하락추세,37.64,56.61
060250,15600,37.26,58.35,-61.61,-16.6,21.9,9.84,하락/역배열,하락추세,50.93,56.6
388720,84900,42.83,55.21,-71.14,1.8,33.56,19.43,하락/역배열,하락추세,55.13,56.58
000150,1639000,47.91,40.15,-29.64,7.0,29.5,467.52,하락/역배열,하락추세,66.43,56.45
003230,1173000,41.06,45.04,-21.09,6.8,38.96,212.23,하락/역배열,골든크로스(0이하),36.58,56.39
352820,225000,45.13,29.18,26.19,71.0,23.1,119.0,하락/역배열,골든크로스(0이하),30.33,56.38
131970,144400,42.77,48.53,-40.44,63.3,23.22,151.84,하락/역배열,하락추세,32.66,56.27
214320,20150,47.7,34.56,-3.97,30.3,14.74,5.35,하락/역배열,하락추세,31.73,56.25
049520,3730,48.21,39.55,-23.67,27.8,33.35,0.8,하락/역배열,골든크로스(0이하),42.81,56.05
006400,549000,38.23,56.72,-50.93,135.5,25.66,611.99,하락/역배열,하락추세,27.07,55.93
005380,620000,40.39,57.56,-62.44,-45.7,31.73,2226.71,하락/역배열,하락추세,24.33,55.89
000080,15990,46.65,53.92,-70.43,-25.6,17.78,3.72,하락/역배열,골든크로스(0이하),49.28,55.68
141080,141400,37.29,49.45,-14.73,73.7,34.61,133.01,하락/역배열,골든크로스(0이하),27.02,55.65
003670,209500,41.57,50.3,-33.35,-5.3,20.67,97.89,하락/역배열,하락추세,27.48,55.49
002240,19870,42.0,37.75,17.47,7.8,53.4,2.32,하락/역배열,골든크로스(0이하),27.64,55.3
035900,56200,43.96,45.57,-20.22,76.1,19.6,24.68,하락/역배열,골든크로스(0이하),42.48,55.18
053050,2035,36.25,59.84,-42.21,55.8,25.68,0.85,하락/역배열,골든크로스(0이하),48.23,54.82
458870,34150,43.44,30.29,49.21,46.2,75.94,64.88,하락/역배열,골든크로스(0이하),20.57,54.66
381970,9180,41.71,43.35,4.46,80.5,8.49,1.86,하락/역배열,골든크로스(0이하),59.49,54.61
